date,type,category,amount,account,currency,description
2025-11-05 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-04 00:00:00,Expense,Cafe,2.0,acct_3,BYN,tag_1
2025-11-04 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-04 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-04 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-04 00:00:00,Expense,Food,2.0,acct_3,BYN,tag_1
2025-11-03 00:00:00,Expense,Leisure,38.0,acct_3,BYN,tag_1
2025-11-03 00:00:00,Expense,Cafe,2.0,acct_3,BYN,tag_1
2025-11-03 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-03 00:00:00,Expense,Cafe,11.0,acct_1,BYN,tag_1
2025-11-03 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-11-03 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-01 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-11-01 00:00:00,Expense,Food,2.0,acct_3,BYN,tag_1
2025-10-31 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-31 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-31 00:00:00,Expense,Gifts,30.0,acct_3,BYN,tag_1
2025-10-30 00:00:00,Expense,Health,1.0,acct_3,BYN,tag_1
2025-10-30 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-30 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-29 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-10-29 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-10-29 00:00:00,Expense,Leisure,20.0,acct_1,BYN,tag_1
2025-10-29 00:00:00,Expense,Leisure,17.0,acct_1,BYN,tag_1
2025-10-29 00:00:00,Expense,Food,1.0,acct_3,BYN,tag_1
2025-10-29 00:00:00,Expense,Food,22.0,acct_1,BYN,tag_1
2025-10-29 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-10-29 00:00:00,Expense,Cafe,1.0,acct_3,BYN,tag_1
2025-10-29 00:00:00,Expense,Cafe,5.0,acct_1,BYN,tag_1
2025-10-28 00:00:00,Expense,Public transport,1.0,acct_3,BYN,tag_1
2025-10-28 00:00:00,Expense,Food,1.0,acct_3,BYN,tag_1
2025-10-28 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-10-28 00:00:00,Expense,Bought for myself,64.0,acct_1,BYN,tag_1
2025-10-28 00:00:00,Expense,Cafe,5.0,acct_1,BYN,tag_1
2025-10-28 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-28 00:00:00,Expense,Food,2.0,acct_3,BYN,tag_1
2025-10-26 00:00:00,Expense,Public transport,5.0,acct_1,BYN,tag_1
2025-10-26 00:00:00,Expense,Health,128.0,acct_1,BYN,tag_1
2025-10-26 00:00:00,Expense,Gifts,44.0,acct_1,BYN,tag_1
2025-10-26 00:00:00,Expense,Public transport,5.0,acct_1,BYN,tag_1
2025-10-26 00:00:00,Expense,Food,6.0,acct_1,BYN,tag_1
2025-10-25 00:00:00,Expense,Food,4.0,acct_1,BYN,tag_1
2025-10-25 00:00:00,Expense,Cafe,11.0,acct_1,BYN,tag_1
2025-10-25 00:00:00,Expense,Public transport,5.0,acct_1,BYN,tag_1
2025-10-24 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-24 00:00:00,Expense,Taxi,10.0,acct_1,BYN,tag_1
2025-10-23 00:00:00,Expense,Cafe,17.0,acct_1,BYN,tag_1
2025-10-21 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-21 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-10-21 00:00:00,Expense,Cafe,9.0,acct_1,BYN,tag_1
2025-10-21 00:00:00,Expense,Cafe,6.0,acct_1,BYN,tag_1
2025-10-21 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-10-20 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-10-20 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-20 00:00:00,Expense,Cafe,4.0,acct_1,BYN,tag_1
2025-10-20 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-19 00:00:00,Expense,Gifts,43.0,acct_1,BYN,tag_1
2025-10-19 00:00:00,Expense,Food,18.0,acct_1,BYN,tag_1
2025-10-19 00:00:00,Expense,Gifts,15.0,acct_3,BYN,tag_1
2025-10-18 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-18 00:00:00,Expense,Food,6.0,acct_1,BYN,tag_1
2025-10-18 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-18 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-18 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-18 00:00:00,Expense,Leisure,29.0,acct_3,BYN,tag_1
2025-10-18 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-17 00:00:00,Expense,Health,70.0,acct_1,BYN,tag_1
2025-10-16 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-16 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-16 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-16 00:00:00,Expense,Cafe,5.0,acct_1,BYN,tag_1
2025-10-16 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-15 00:00:00,Expense,Loan given,854.0,acct_1,BYN,tag_1
2025-10-15 00:00:00,Expense,Other,11.0,acct_1,BYN,tag_1
2025-10-15 00:00:00,Expense,Food,0.0,acct_3,BYN,tag_1
2025-10-15 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-15 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-15 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-10-15 00:00:00,Expense,Cafe,4.0,acct_1,BYN,tag_1
2025-10-15 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-14 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-14 00:00:00,Expense,Food,1.0,acct_3,BYN,tag_1
2025-10-14 00:00:00,Expense,Gifts,27.0,acct_1,BYN,tag_1
2025-10-14 00:00:00,Expense,Food,3.0,acct_3,BYN,tag_1
2025-10-14 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-14 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-14 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-14 00:00:00,Expense,Taxi,9.0,acct_1,BYN,tag_1
2025-10-13 00:00:00,Expense,Food,15.0,acct_3,BYN,tag_1
2025-10-13 00:00:00,Expense,Cafe,9.0,acct_3,BYN,tag_1
2025-10-13 00:00:00,Expense,Food,1.0,acct_3,BYN,tag_1
2025-10-13 00:00:00,Expense,Leisure,35.0,acct_3,BYN,tag_1
2025-10-12 00:00:00,Expense,Public transport,5.0,acct_1,BYN,tag_1
2025-10-10 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-10 00:00:00,Expense,Food,15.0,acct_1,BYN,tag_1
2025-10-10 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-10 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-10 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-09 00:00:00,Expense,Taxi,17.0,acct_1,BYN,tag_1
2025-10-09 00:00:00,Expense,Cafe,6.0,acct_1,BYN,tag_1
2025-10-09 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-10-08 00:00:00,Expense,Food,10.0,acct_1,BYN,tag_1
2025-10-08 00:00:00,Expense,Public transport,1.0,acct_3,BYN,tag_2
2025-10-07 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-10-07 00:00:00,Expense,Food,2.0,acct_3,BYN,tag_1
2025-10-07 00:00:00,Expense,Taxi,14.0,acct_1,BYN,tag_1
2025-10-06 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-10-06 00:00:00,Expense,Gifts,15.0,acct_3,BYN,tag_1
2025-10-06 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-10-06 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-05 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-05 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-04 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-04 00:00:00,Expense,Food,1.0,acct_3,BYN,tag_1
2025-10-04 00:00:00,Expense,Loan given,52.0,acct_1,BYN,tag_1
2025-10-04 00:00:00,Expense,Loan given,86.0,acct_1,BYN,tag_1
2025-10-03 00:00:00,Expense,Cafe,59.0,acct_3,BYN,tag_1
2025-10-02 00:00:00,Expense,Taxi,4.0,acct_3,BYN,tag_1
2025-10-02 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-10-02 00:00:00,Expense,Cafe,1.0,acct_3,BYN,tag_1
2025-10-02 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-01 00:00:00,Expense,Cafe,2.0,acct_3,BYN,tag_1
2025-10-01 00:00:00,Expense,Cafe,14.0,acct_1,BYN,tag_1
2025-10-01 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-01 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-10-01 00:00:00,Expense,Cafe,4.0,acct_3,BYN,tag_1
2025-10-01 00:00:00,Expense,Cafe,5.0,acct_3,BYN,tag_1
2025-10-01 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-10-01 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-30 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-30 00:00:00,Expense,Cafe,1.0,acct_3,BYN,tag_1
2025-09-30 00:00:00,Expense,University,4.0,acct_3,BYN,tag_1
2025-09-30 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-09-30 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-30 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-09-30 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_3
2025-09-30 00:00:00,Expense,Leisure,31.0,acct_1,BYN,tag_1
2025-09-29 00:00:00,Expense,Food,5.0,acct_3,BYN,tag_1
2025-09-29 00:00:00,Expense,Clothes,88.0,acct_1,BYN,tag_1
2025-09-29 00:00:00,Expense,Bought for myself,1129.0,acct_1,BYN,tag_1
2025-09-29 00:00:00,Expense,Cafe,1.0,acct_3,BYN,tag_1
2025-09-29 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-29 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-09-29 00:00:00,Expense,Cafe,3.0,acct_3,BYN,tag_1
2025-09-29 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-28 00:00:00,Expense,Food,9.0,acct_3,BYN,tag_1
2025-09-28 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-28 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-27 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-27 00:00:00,Expense,Food,10.0,acct_3,BYN,tag_1
2025-09-27 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-27 00:00:00,Expense,Food,1.0,acct_3,BYN,tag_1
2025-09-27 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-27 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-27 00:00:00,Expense,Taxi,24.0,acct_3,BYN,tag_1
2025-09-27 00:00:00,Expense,Food,65.0,acct_1,BYN,tag_1
2025-09-26 00:00:00,Expense,Taxi,25.0,acct_1,BYN,tag_1
2025-09-26 00:00:00,Expense,Leisure,232.0,acct_1,BYN,tag_1
2025-09-26 00:00:00,Expense,Cafe,5.0,acct_1,BYN,tag_1
2025-09-25 00:00:00,Expense,Food,81.0,acct_1,BYN,tag_1
2025-09-25 00:00:00,Expense,Food,313.0,acct_1,BYN,tag_1
2025-09-25 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-25 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_2
2025-09-25 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_3
2025-09-24 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-24 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-24 00:00:00,Expense,Cafe,16.0,acct_1,BYN,tag_1
2025-09-24 00:00:00,Expense,Cafe,6.0,acct_1,BYN,tag_1
2025-09-24 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-24 00:00:00,Expense,Food,1.0,acct_3,BYN,tag_1
2025-09-24 00:00:00,Expense,Food,11.0,acct_3,BYN,tag_1
2025-09-23 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_2
2025-09-23 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-23 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-09-22 00:00:00,Expense,Cafe,8.0,acct_3,BYN,tag_1
2025-09-22 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-22 00:00:00,Expense,Gifts,12.0,acct_3,BYN,tag_1
2025-09-21 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-09-21 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-20 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-20 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-09-17 00:00:00,Expense,Health,73.0,acct_1,BYN,tag_1
2025-09-17 00:00:00,Expense,University,12.0,acct_1,BYN,tag_1
2025-09-17 00:00:00,Expense,Cafe,4.0,acct_3,BYN,tag_1
2025-09-17 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-16 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-15 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-14 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-14 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-14 00:00:00,Expense,University,5.0,acct_1,BYN,tag_1
2025-09-14 00:00:00,Expense,Taxi,15.0,acct_1,BYN,tag_1
2025-09-14 00:00:00,Expense,Cafe,9.0,acct_1,BYN,tag_1
2025-09-13 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-13 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-13 00:00:00,Expense,Taxi,6.0,acct_1,BYN,tag_1
2025-09-12 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-12 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-11 00:00:00,Expense,Food,10.0,acct_1,BYN,tag_1
2025-09-11 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_2
2025-09-11 00:00:00,Expense,Loan given,457.0,acct_1,BYN,tag_1
2025-09-11 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-09-11 00:00:00,Expense,Cafe,9.0,acct_1,BYN,tag_1
2025-09-10 00:00:00,Expense,Food,5.0,acct_1,BYN,tag_1
2025-09-10 00:00:00,Expense,Cafe,9.0,acct_1,BYN,tag_1
2025-09-10 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-09 00:00:00,Expense,Food,6.0,acct_1,BYN,tag_1
2025-09-09 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-09 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-09 00:00:00,Expense,Food,6.0,acct_1,BYN,tag_1
2025-09-09 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-08 00:00:00,Expense,University,17.0,acct_1,BYN,tag_1
2025-09-08 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_2
2025-09-08 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-07 00:00:00,Expense,Taxi,18.0,acct_1,BYN,tag_1
2025-09-07 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-06 00:00:00,Expense,Taxi,20.0,acct_1,BYN,tag_1
2025-09-06 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-09-06 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-09-06 00:00:00,Expense,Food,5.0,acct_1,BYN,tag_1
2025-09-06 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-06 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-06 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_2
2025-09-06 00:00:00,Expense,Taxi,9.0,acct_1,BYN,tag_1
2025-09-06 00:00:00,Expense,Cafe,9.0,acct_1,BYN,tag_1
2025-09-05 00:00:00,Expense,Gifts,5.0,acct_1,BYN,tag_1
2025-09-05 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_2
2025-09-05 00:00:00,Expense,Cafe,4.0,acct_1,BYN,tag_1
2025-09-05 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_2
2025-09-04 00:00:00,Expense,Food,15.0,acct_1,BYN,tag_1
2025-09-03 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_1
2025-09-03 00:00:00,Expense,Public transport,5.0,acct_1,BYN,tag_1
2025-09-03 00:00:00,Expense,Cafe,4.0,acct_1,BYN,tag_1
2025-09-03 00:00:00,Expense,Cafe,5.0,acct_1,BYN,tag_1
2025-09-02 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_2
2025-09-02 00:00:00,Expense,Cafe,5.0,acct_1,BYN,tag_1
2025-09-01 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-09-01 00:00:00,Expense,Leisure,21.0,acct_1,BYN,tag_1
2025-09-01 00:00:00,Expense,Cafe,5.0,acct_1,BYN,tag_1
2025-08-31 00:00:00,Expense,Cafe,11.0,acct_1,BYN,tag_1
2025-08-31 00:00:00,Expense,Cafe,17.0,acct_1,BYN,tag_1
2025-08-31 00:00:00,Expense,Cafe,55.0,acct_1,BYN,tag_1
2025-08-31 00:00:00,Expense,Taxi,12.0,acct_1,BYN,tag_1
2025-08-31 00:00:00,Expense,Public transport,10.0,acct_1,BYN,tag_1
2025-08-31 00:00:00,Expense,Leisure,12.0,acct_1,BYN,tag_1
2025-08-31 00:00:00,Expense,Food,10.0,acct_1,BYN,tag_1
2025-08-30 00:00:00,Expense,Cafe,22.0,acct_1,BYN,tag_1
2025-08-30 00:00:00,Expense,Bought for myself,9.0,acct_1,BYN,tag_1
2025-08-30 00:00:00,Expense,Public transport,10.0,acct_1,BYN,tag_1
2025-08-29 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-08-28 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-28 00:00:00,Expense,Gifts,11.0,acct_1,BYN,tag_1
2025-08-28 00:00:00,Expense,Leisure,93.0,acct_1,BYN,tag_1
2025-08-28 00:00:00,Expense,Gifts,32.0,acct_1,BYN,tag_1
2025-08-28 00:00:00,Expense,Public transport,2.0,acct_2,BYN,tag_4
2025-08-27 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-27 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-27 00:00:00,Expense,Cafe,13.0,acct_3,BYN,tag_1
2025-08-27 00:00:00,Expense,Cafe,6.0,acct_1,BYN,tag_1
2025-08-26 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-26 00:00:00,Expense,Food,1.0,acct_3,BYN,tag_1
2025-08-26 00:00:00,Expense,Food,2.0,acct_3,BYN,tag_1
2025-08-26 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-25 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-25 00:00:00,Expense,Food,3.0,acct_3,BYN,tag_1
2025-08-25 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-25 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-23 00:00:00,Expense,Food,55.0,acct_1,BYN,tag_1
2025-08-23 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-23 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-22 00:00:00,Expense,Food,4.0,acct_3,BYN,tag_1
2025-08-22 00:00:00,Expense,Food,6.0,acct_3,BYN,tag_1
2025-08-22 00:00:00,Expense,Food,1.0,acct_3,BYN,tag_1
2025-08-22 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-22 00:00:00,Expense,Leisure,16.0,acct_1,BYN,tag_1
2025-08-22 00:00:00,Expense,Food,1.0,acct_3,BYN,tag_1
2025-08-21 00:00:00,Expense,Food,5.0,acct_3,BYN,tag_1
2025-08-20 00:00:00,Expense,Cafe,8.0,acct_3,BYN,tag_1
2025-08-20 00:00:00,Expense,Leisure,5.0,acct_1,BYN,tag_1
2025-08-20 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_4
2025-08-20 00:00:00,Expense,Taxi,12.0,acct_1,BYN,tag_1
2025-08-19 00:00:00,Expense,Public transport,5.0,acct_1,BYN,tag_1
2025-08-19 00:00:00,Expense,Bought for myself,71.0,acct_1,BYN,tag_1
2025-08-18 00:00:00,Expense,Public transport,1.0,acct_2,BYN,tag_1
2025-08-17 00:00:00,Expense,Food,6.0,acct_1,BYN,tag_1
